lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847682284808488481641,2022,Kiviranta-Glendening-Dellandrea,DAL,line,5on5,27,2634.0,281.0,0.5,0.54,0.51,19.6,1.6,1.16,4.77,0.62,10.83,8.02,1.59,1.63,1.62,16.0,11.0,13.0,40.0,0.0,0.0,0.0,4.0,1.0,10.0,12.0,16.0,27.0,4.0,11.0,31.0,15.0,4.0,5.0,20.0,4.0,3.0,0.4,0.52,0.68,0.0,0.0,0.0,41.08,27.0,27.68,3.0,0.24,0.0,0.0,1.84,1.88,1.86,19.21,1.6,1.25,4.23,0.57,10.53,7.84,1.57,1.53,1.5,17.0,9.0,8.0,34.0,1.0,1.0,0.0,6.0,0.0,9.0,9.0,16.0,25.0,5.0,13.0,18.0,21.0,7.0,11.0,22.0,3.0,1.0,0.83,0.56,0.2,1.0,0.0,0.0,32.59,26.0,25.23,7.0,0.26,0.2,0.2,1.65,1.6,1.58
847733084804598481013,2022,Kubalik-Suter-Berggren,DET,line,5on5,5,613.0,58.0,0.61,0.67,0.69,6.36,0.33,0.34,1.93,0.24,3.48,2.68,0.32,0.32,0.32,5.0,4.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,5.0,9.0,0.0,0.0,5.0,4.0,1.0,0.0,8.0,1.0,0.0,0.2,0.13,0.0,0.0,0.0,0.0,9.62,9.0,8.55,0.0,0.07,0.01,0.01,0.39,0.38,0.38,3.15,0.21,0.17,0.98,0.09,1.46,1.1,0.21,0.21,0.21,3.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,1.0,2.0,6.0,1.0,1.0,1.0,3.0,1.0,0.0,0.04,0.17,0.0,0.0,0.0,0.0,5.23,4.0,4.17,1.0,0.04,0.0,0.0,0.24,0.24,0.24
84740278477948,2022,Sanheim-Braun,PHI,pairing,5on5,47,19927.0,232.0,0.51,0.47,0.48,164.5,13.62,11.13,40.8,5.39,90.11,65.95,13.23,13.54,13.15,156.0,71.0,74.0,301.0,9.0,18.0,2.0,50.0,9.0,56.0,85.0,147.0,218.0,26.0,64.0,154.0,177.0,33.0,43.0,168.0,47.0,12.0,4.81,5.67,3.14,5.0,3.0,1.0,298.08,227.0,224.55,27.0,2.31,3.6,3.63,12.31,12.22,12.09,181.19,13.24,11.31,43.47,5.75,99.72,75.5,12.83,13.37,12.94,173.0,76.0,90.0,339.0,9.0,10.0,1.0,38.0,5.0,87.0,100.0,164.0,240.0,26.0,64.0,200.0,145.0,27.0,53.0,191.0,53.0,5.0,5.18,6.52,1.55,5.0,4.0,0.0,341.61,249.0,251.42,44.0,2.32,1.63,1.63,13.93,14.0,13.74
847519384752878480003,2022,Tatar-Haula-Boqvist,NJD,line,5on5,7,950.0,86.0,0.58,0.63,0.52,8.38,0.67,0.53,2.1,0.27,4.96,3.47,0.67,0.67,0.67,8.0,4.0,7.0,19.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,7.0,11.0,1.0,2.0,9.0,4.0,1.0,3.0,9.0,3.0,0.0,0.21,0.46,0.0,0.0,1.0,0.0,19.46,12.0,12.4,1.0,0.11,0.0,0.0,0.78,0.78,0.78,7.29,0.49,0.48,2.37,0.3,4.17,3.2,0.49,0.48,0.48,7.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,11.0,0.0,0.0,8.0,8.0,1.0,3.0,10.0,1.0,0.0,0.39,0.09,0.0,0.0,0.0,0.0,10.77,11.0,10.8,3.0,0.1,0.0,0.0,0.59,0.59,0.59
847168584779608480014,2022,Kempe-Kopitar-Vilardi,LAK,line,5on5,19,9053.0,77.0,0.59,0.55,0.58,82.44,7.1,5.51,19.95,2.6,47.44,33.41,6.88,7.17,6.94,88.0,28.0,39.0,155.0,4.0,9.0,1.0,23.0,2.0,39.0,39.0,84.0,112.0,4.0,8.0,87.0,45.0,16.0,29.0,91.0,17.0,8.0,2.81,2.03,2.26,2.0,1.0,1.0,154.74,116.0,116.18,19.0,1.14,2.23,2.23,6.01,6.04,5.95,58.58,4.97,3.92,14.11,1.91,34.01,24.09,4.83,4.95,4.81,54.0,29.0,44.0,127.0,3.0,5.0,1.0,17.0,1.0,27.0,30.0,51.0,80.0,9.0,18.0,60.0,69.0,11.0,26.0,64.0,16.0,3.0,1.89,2.14,0.94,0.0,3.0,0.0,127.81,83.0,83.44,19.0,0.81,1.26,1.26,4.52,4.57,4.48
847689784779198479520,2022,Sundqvist-Gaudreau-Duhaime,MIN,line,5on5,7,3002.0,34.0,0.37,0.47,0.46,19.01,1.62,1.29,4.62,0.65,11.55,8.26,1.6,1.66,1.63,19.0,9.0,12.0,40.0,2.0,1.0,0.0,6.0,3.0,5.0,11.0,17.0,26.0,3.0,6.0,31.0,24.0,4.0,2.0,21.0,6.0,1.0,0.5,0.82,0.3,1.0,1.0,0.0,41.07,28.0,28.66,1.0,0.27,0.3,0.3,1.59,1.61,1.6,24.87,2.82,1.8,4.98,0.74,12.78,9.89,2.77,2.76,2.71,24.0,9.0,12.0,45.0,2.0,1.0,1.0,3.0,0.0,8.0,19.0,22.0,31.0,1.0,2.0,34.0,21.0,3.0,3.0,20.0,10.0,3.0,0.8,1.06,0.96,1.0,1.0,0.0,44.17,33.0,32.59,2.0,0.37,0.09,0.09,3.11,3.04,2.98
847645484774068479344,2022,Janmark-Nugent-Hopkins-Puljujarvi,EDM,line,5on5,13,2888.0,98.0,0.4,0.42,0.45,21.82,1.58,1.48,5.24,0.7,11.27,8.73,1.54,1.58,1.55,25.0,4.0,5.0,34.0,2.0,2.0,0.0,7.0,0.0,6.0,12.0,23.0,27.0,6.0,14.0,20.0,18.0,6.0,6.0,22.0,5.0,2.0,0.45,0.72,0.42,1.0,1.0,0.0,34.6,29.0,29.34,5.0,0.31,0.24,0.24,1.65,1.66,1.64,25.32,2.38,1.68,6.34,0.89,14.41,10.3,2.35,2.33,2.3,32.0,4.0,11.0,47.0,3.0,1.0,0.0,6.0,0.0,11.0,15.0,29.0,33.0,3.0,6.0,37.0,19.0,6.0,10.0,27.0,6.0,3.0,0.94,0.73,0.71,0.0,2.0,1.0,46.27,36.0,35.54,4.0,0.35,0.25,0.25,2.48,2.44,2.41
84763728477950,2022,Seeler-Deangelo,PHI,pairing,5on5,48,16256.0,291.0,0.51,0.49,0.53,155.75,12.6,10.21,39.2,5.12,84.51,62.37,12.26,12.29,11.96,153.0,61.0,57.0,271.0,8.0,11.0,0.0,44.0,7.0,68.0,76.0,145.0,206.0,12.0,34.0,118.0,143.0,28.0,32.0,164.0,36.0,14.0,4.47,4.4,3.73,3.0,2.0,3.0,264.87,214.0,209.56,28.0,2.11,2.0,2.0,12.71,12.4,12.21,135.48,12.2,9.02,32.44,4.48,75.15,56.7,11.84,12.44,12.08,121.0,69.0,91.0,281.0,13.0,9.0,1.0,21.0,4.0,68.0,75.0,108.0,177.0,24.0,54.0,129.0,120.0,32.0,40.0,140.0,39.0,11.0,4.17,5.12,2.9,4.0,7.0,2.0,288.63,190.0,194.0,29.0,1.86,1.88,1.88,12.18,12.43,12.26
847169884741898475149,2022,Johansson-Eller-Oshie,WSH,line,5on5,15,3239.0,118.0,0.54,0.47,0.48,27.83,2.17,1.9,6.46,0.87,16.08,11.52,2.07,2.06,1.97,29.0,10.0,12.0,51.0,1.0,3.0,0.0,5.0,0.0,14.0,16.0,28.0,38.0,0.0,0.0,30.0,29.0,7.0,6.0,31.0,5.0,3.0,0.91,0.53,0.74,1.0,0.0,0.0,49.42,39.0,38.05,4.0,0.39,0.74,0.74,1.83,1.77,1.73,28.44,1.83,1.82,7.15,0.98,17.48,12.74,1.8,1.89,1.85,29.0,13.0,15.0,57.0,1.0,2.0,0.0,8.0,1.0,14.0,16.0,28.0,41.0,2.0,4.0,32.0,28.0,11.0,13.0,34.0,8.0,0.0,1.04,0.78,0.0,1.0,0.0,0.0,59.0,42.0,43.57,11.0,0.37,0.14,0.14,2.06,2.11,2.08
84754628482641,2022,Kiersted-Gudas,FLA,pairing,5on5,10,748.0,68.0,0.57,0.41,0.5,4.48,0.29,0.32,1.16,0.19,2.87,2.17,0.29,0.3,0.3,5.0,2.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,5.0,7.0,0.0,0.0,5.0,8.0,0.0,1.0,5.0,2.0,0.0,0.1,0.19,0.0,0.0,0.0,0.0,7.06,7.0,7.11,1.0,0.07,0.0,0.0,0.36,0.36,0.36,5.1,0.22,0.26,1.33,0.15,2.94,2.1,0.22,0.22,0.22,5.0,2.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0,7.0,0.0,0.0,4.0,8.0,0.0,1.0,6.0,1.0,0.0,0.09,0.13,0.0,0.0,0.0,0.0,9.99,7.0,7.0,1.0,0.05,0.0,0.0,0.27,0.27,0.27
