lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847169984774568481186,2022,Cogliano-Compher-O'Connor,COL,line,5on5,53,13780.0,401.0,0.58,0.5,0.53,111.56,8.62,7.09,27.88,3.74,64.68,46.99,8.52,8.79,8.7,123.0,36.0,48.0,207.0,8.0,6.0,3.0,36.0,1.0,47.0,61.0,115.0,151.0,14.0,28.0,139.0,83.0,28.0,17.0,127.0,22.0,10.0,3.65,2.54,2.42,2.0,1.0,5.0,209.32,159.0,160.58,5.0,1.45,1.3,1.3,8.77,8.89,8.83,97.3,6.13,6.05,23.85,3.35,56.93,43.69,6.01,5.99,5.87,106.0,34.0,63.0,203.0,3.0,3.0,0.0,31.0,7.0,44.0,52.0,103.0,137.0,20.0,40.0,137.0,93.0,19.0,22.0,114.0,23.0,3.0,2.96,2.35,0.82,0.0,3.0,0.0,197.1,140.0,136.23,12.0,1.24,0.62,0.62,6.75,6.62,6.53
847645884800318481533,2022,Comtois-Strome-Zegras,ANA,line,5on5,23,4726.0,187.0,0.46,0.48,0.47,39.4,3.34,2.76,9.65,1.27,21.8,16.18,3.31,3.44,3.41,42.0,13.0,14.0,69.0,6.0,0.0,0.0,11.0,2.0,24.0,13.0,36.0,49.0,6.0,18.0,33.0,22.0,5.0,13.0,38.0,15.0,2.0,1.03,1.86,0.46,2.0,4.0,0.0,69.17,55.0,55.64,8.0,0.58,0.0,0.18,3.73,3.84,3.82,43.91,3.87,3.13,9.97,1.41,24.53,18.1,3.83,3.94,3.89,48.0,13.0,15.0,76.0,5.0,3.0,0.0,8.0,0.0,15.0,30.0,43.0,56.0,8.0,22.0,34.0,39.0,7.0,15.0,45.0,13.0,3.0,1.52,1.69,0.67,3.0,2.0,0.0,78.21,61.0,62.65,7.0,0.65,0.28,0.28,4.24,4.27,4.23
847646084783988479400,2022,Connor-Dubois-Scheifele,WPG,line,5on5,37,7323.0,357.0,0.56,0.54,0.54,68.33,7.47,4.79,14.71,2.21,38.07,27.75,7.21,7.44,7.19,67.0,28.0,31.0,126.0,8.0,5.0,1.0,11.0,4.0,31.0,36.0,59.0,87.0,8.0,16.0,54.0,27.0,19.0,23.0,62.0,23.0,10.0,1.93,2.87,2.66,4.0,2.0,2.0,126.52,95.0,95.29,16.0,1.0,1.43,1.28,7.19,7.13,6.97,60.19,5.78,4.0,14.35,1.91,30.57,23.41,5.6,5.76,5.58,56.0,24.0,28.0,108.0,3.0,7.0,1.0,11.0,2.0,33.0,24.0,53.0,77.0,10.0,20.0,71.0,38.0,13.0,22.0,56.0,17.0,7.0,1.7,2.25,1.82,1.0,1.0,1.0,106.19,80.0,79.36,17.0,0.83,1.48,1.48,5.14,5.15,5.05
84774998477950,2022,Deangelo-Ristolainen,PHI,pairing,5on5,44,1971.0,427.0,0.46,0.5,0.53,19.34,1.29,1.15,4.53,0.62,10.69,8.72,1.29,1.31,1.31,20.0,7.0,7.0,34.0,1.0,0.0,0.0,4.0,3.0,5.0,14.0,19.0,26.0,0.0,0.0,2.0,9.0,2.0,3.0,21.0,6.0,0.0,0.6,0.69,0.0,1.0,0.0,0.0,34.13,27.0,27.12,3.0,0.23,0.0,0.0,1.52,1.54,1.54,17.85,1.54,1.2,3.95,0.57,9.41,7.32,1.54,1.57,1.57,15.0,9.0,10.0,34.0,1.0,1.0,0.0,4.0,0.0,4.0,14.0,14.0,23.0,0.0,0.0,4.0,19.0,4.0,6.0,17.0,6.0,1.0,0.54,0.77,0.24,0.0,1.0,0.0,34.27,24.0,23.85,5.0,0.25,0.04,0.04,1.75,1.78,1.78
84746128478469,2022,Chabot-Hamonic,OTT,pairing,5on5,62,7392.0,420.0,0.61,0.59,0.59,90.3,8.01,5.62,21.98,2.93,45.2,36.26,7.75,7.92,7.67,89.0,31.0,32.0,152.0,4.0,5.0,0.0,19.0,3.0,42.0,47.0,85.0,116.0,12.0,24.0,45.0,54.0,15.0,10.0,82.0,33.0,5.0,2.43,4.29,1.29,1.0,2.0,1.0,150.9,120.0,118.99,8.0,1.17,0.89,0.88,8.29,8.23,8.08,61.18,5.19,3.92,14.32,2.04,32.85,25.68,4.99,5.29,5.08,57.0,27.0,22.0,106.0,4.0,4.0,0.0,11.0,4.0,33.0,28.0,53.0,80.0,10.0,20.0,45.0,64.0,11.0,20.0,61.0,21.0,2.0,2.1,2.46,0.63,2.0,2.0,0.0,109.09,84.0,86.57,14.0,0.81,0.55,0.55,5.45,5.55,5.35
